Name,Similarity,Position,File,Subject,Subject_File,,
Jacqueline Edwards,0.627,1,/assets/Jacqueline_Edwards_0001.jpg,Jason Campbell,/assets/Jason_Campbell_0001.jpg,,
Jaqueline Godoy,1.076,2,/assets/Jaqueline_Godoy_0001.jpg,,,,
Jennette Bradley,0.955,3,/assets/Jennette_Bradley_0001.jpg,,,,
Julian Battle,0.67,4,/assets/Julian_Battle_0001.jpg,,,,
Kalpana Chawla,1.024,5,/assets/Kalpana_Chawla_0002.jpg,,,,
Kelly Santos,1.037,6,/assets/Kelly_Santos_0001.jpg,,,,
Kobe Bryant,0.685,7,/assets/Kobe_Bryant_0003.jpg,,,,
Kwame Kilpatrick,0.761,8,/assets/Kwame_Kilpatrick_0001.jpg,,,,
Larry Thompson,1.054,9,/assets/Larry_Thompson_0001.jpg,,,,
Marquis Estill,0.837,10,/assets/Marquis_Estill_0001.jpg,,,,
